,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M2H,16253.680999999999,23018.812,11155.339999999997,20957.396999999994,24807.571999999996,14348.512,22290.456999999984,16036.170000000002,13747.473000000002,5048.2339999999995,4194.016,19691.543999999998,19528.211999999996,19749.362999999998,20146.436999999994,19747.230000000003
M2N,19043.818,16382.751000000002,7273.462000000001,14285.470999999996,18171.511,14105.166000000005,17677.921,9400.109,16270.092,10691.415000000003,4447.898999999999,13019.617999999997,12856.285999999998,13077.436999999998,13474.510999999993,13392.698999999997
M2P,17182.37,14715.926000000001,4292.327000000001,12557.455999999998,16764.317000000006,11124.031000000003,18738.774,8476.563999999998,13950.084000000006,11798.753999999997,4798.692999999999,11291.603000000001,11128.271000000002,11349.422000000002,11746.495999999996,11664.684000000001
M4J,18236.507999999994,10040.184999999994,6945.606000000002,7806.786999999997,12240.993999999995,1202.1739999999998,25958.908999999996,16925.923999999995,12670.008,15715.855,10826.259000000005,6440.926999999997,6276.101999999999,6498.113999999999,7159.390999999996,6425.725999999999
M3C,15585.242,15431.468999999994,6546.245000000003,13198.071000000002,17622.594000000012,6418.292000000001,25081.853999999996,14819.643999999998,9881.137999999999,11733.894,6400.56,11832.211000000001,11667.386,11889.398000000001,12550.675,11817.009999999998
M3H,22545.00600000001,12769.790999999997,8769.051999999996,12165.954,14248.390999999992,15600.756000000003,14530.074,5374.862999999999,19304.873999999993,14967.117999999999,7967.057,13220.235999999992,13598.447999999993,13280.006999999992,12297.558,14321.500999999997
M9M,30673.571000000007,16330.784000000001,16816.623,17160.182000000004,14552.938999999998,22795.065999999984,7445.736999999998,6173.599,27433.439000000002,21784.423000000006,16401.227000000003,18443.56800000001,18821.780000000013,18503.33900000001,17603.01800000001,19578.586000000014
M9N,28487.573000000008,12422.729999999992,12792.740999999993,13252.127999999993,10644.884999999991,18641.22599999999,8773.007000000001,3986.0459999999994,24471.69299999999,22887.488000000005,15887.427000000005,14535.513999999988,14913.72599999999,14595.284999999989,13694.96399999999,15670.53199999999
M9P,30572.440000000006,12690.275999999994,13732.938999999995,13519.673999999995,10912.430999999993,19154.557999999994,8874.306000000002,6070.9130000000005,25411.890999999992,24972.355,17972.294,14803.05999999999,15181.271999999992,14862.830999999991,13962.509999999993,15938.077999999992
M3B,14737.401,16196.337000000001,5248.522000000002,13998.188000000004,18244.72800000001,8782.845000000001,22393.690999999995,12131.480999999998,10228.378999999997,9985.345,2986.803,12731.496000000001,12568.164000000002,12789.315000000002,13187.228000000001,12761.936000000003
M3L,27487.182,14037.196999999998,13630.233999999993,14866.595,12259.351999999995,19992.104999999992,10189.481000000003,2816.3099999999995,24247.049999999992,21365.208000000006,15256.298000000004,16027.59799999999,16405.80999999999,16087.368999999992,15086.878999999995,17284.998999999993
M1K,10234.001999999999,18635.886000000002,11543.27299999999,16866.167999999998,21202.532000000014,8196.029000000002,31015.15499999998,21630.005999999994,4667.502,9297.393000000004,12072.382000000005,15365.802999999996,15084.097999999994,15306.109999999995,16218.771999999997,14858.085
M1L,12327.448999999997,15798.331999999999,10783.222999999993,13564.934000000007,17999.141000000003,4840.191,30019.078999999987,20869.956,6760.948999999998,11005.43,12009.325999999997,12199.074000000006,12034.249000000005,12256.261000000006,12917.538000000004,12086.611000000004
M1N,13027.648999999994,14571.290999999997,13363.169,13090.869999999999,17137.937,5729.018000000001,31921.679,23343.487,7461.148999999997,12464.928999999993,14928.127999999999,11341.940999999999,11060.235999999997,11282.247999999998,12443.473999999997,10793.490000000003
M5A,22206.353,5006.936999999998,9497.491999999997,4196.487,7573.583,6563.424000000001,24647.433999999997,16782.54299999999,16639.853000000003,20667.476000000006,15424.738000000003,2809.9120000000003,2431.7780000000002,2750.2190000000005,3928.749,1229.136
M5B,23162.766999999996,4366.881999999999,8903.738,2907.2359999999994,6933.528,6829.469,23308.36599999999,15184.190999999997,17596.267,21004.592000000008,14912.192000000005,1181.04,899.335,1121.347,2289.692,681.486
M5C,23524.052,4052.1030000000005,9841.832999999997,3454.622,6466.640000000001,7767.564,23905.569,16127.660999999996,17957.552000000003,21942.68700000001,15850.287000000002,2068.047,1689.913,2008.354,3186.884,457.06600000000003
M5E,23890.103000000003,5049.1359999999995,10453.673999999999,4465.232000000001,7393.421,8377.643000000002,24916.179,17138.270999999993,18323.603000000006,22475.67800000001,16462.127999999997,3078.6570000000006,2700.5230000000006,3018.964000000001,4197.494000000001,1467.6760000000004
M5G,23864.603,3578.0500000000006,9566.002999999997,2105.4790000000007,6144.696000000002,7531.304999999999,22556.42599999999,14826.274999999994,18298.103000000003,21706.428000000007,15605.469000000003,569.306,191.172,509.613,1694.5949999999998,1043.237
M5H,24123.90800000001,3344.5910000000003,10303.574,2772.2099999999996,5911.237000000002,8242.801000000001,23223.15699999999,15785.365999999995,18557.408000000014,22417.92400000001,16325.524000000001,1385.6809999999998,1211.685,1325.9879999999998,2504.4719999999998,737.846
M5J,25063.249000000003,3968.3740000000007,11663.089999999997,3512.6059999999993,6356.953000000001,9564.670000000002,23938.653000000002,16673.680999999993,19496.749000000007,23662.70500000001,17671.544,2525.4240000000004,2615.8549999999996,2465.7310000000007,3279.4199999999996,2186.046
M5M,19311.926000000007,12067.442000000001,4448.553000000001,10129.267999999998,14115.833000000002,11271.913000000002,16942.674000000006,6680.464,16071.794000000002,14516.485,7516.424000000002,9301.887999999997,9680.099999999999,9361.658999999998,9690.844,10358.425000000003
M6H,27230.821000000004,3406.145,11067.317,3926.779,4006.0379999999996,10684.050000000005,17528.163000000008,10009.322999999999,21664.321000000007,23815.21600000001,16873.511,5210.165000000001,5588.377,5269.936000000001,4258.532,6653.946999999999
M5V,26486.046000000006,2074.17,12955.136999999997,2226.869,4378.533,10879.106000000003,21997.043999999983,14796.034999999993,20919.54600000001,24977.14100000001,18963.590999999993,3566.7759999999994,3665.337999999999,3507.0829999999996,3118.2089999999994,3478.093
M6A,22511.78100000001,9698.94,7039.778,9286.395999999999,10872.193999999992,13366.209000000006,14507.069000000007,4323.184,18718.73,17127.693000000003,10127.632000000003,10358.718999999992,10736.930999999993,10418.489999999993,9417.999999999998,11554.847000000002
M6B,24073.577000000012,8047.804000000002,6582.204000000002,7635.2599999999975,9316.967999999993,11953.544000000005,15446.625000000007,5947.472999999999,18780.232999999997,18655.363000000005,11655.302000000001,8707.582999999995,9085.794999999996,8767.353999999996,7766.863999999999,10046.430999999995
M2R,22976.35300000001,16171.867,10410.704999999996,14233.692999999997,18139.860000000004,17242.409,14631.09,9088.14,20227.815999999988,12229.744000000004,8357.582999999999,15003.449999999992,15381.661999999993,15063.220999999992,14365.296999999999,16104.714999999995
M3A,11386.773000000005,19039.368000000006,8716.067999999997,16805.97,21240.177000000007,9775.913000000004,24875.35799999999,14613.148,8312.262,6861.342999999999,4963.237,15440.110000000002,15275.285000000002,15497.297000000002,16158.574,15424.909
M6J,26822.625999999997,800.652,12214.404999999993,1470.038,3366.0329999999994,10304.378000000002,19824.947999999993,12623.938999999995,21256.126,24479.50100000001,18167.269,3031.6220000000008,3149.195000000001,2971.929000000001,2402.892,3857.6650000000013
M6K,28128.394000000008,1046.6,13820.100999999995,3093.9479999999994,1734.4360000000001,11928.288000000004,19462.293999999998,12261.284999999993,22561.89400000001,26103.411000000007,19695.514,4504.741,4603.303,4445.048,4026.801999999999,4886.311999999998
M6L,25935.439000000006,11571.426999999998,10387.128999999994,11992.944999999994,9793.581999999999,16567.012000000002,11172.243000000008,2929.13,22066.080999999987,20335.354000000007,13335.293000000003,13065.267999999991,13443.479999999992,13125.038999999992,12124.548999999995,14404.116
M1C,4894.116,28419.850000000017,21916.542,27049.81800000002,30986.49600000003,18884.963999999996,39030.16000000001,28767.95,8619.038999999999,15026.608000000004,18664.868000000006,25300.889000000017,25019.184000000016,25241.196000000018,26402.42200000002,24642.049000000006
M1H,4047.59,23325.476000000028,15180.830999999998,21555.75800000001,25892.12200000004,13155.046999999995,32266.248000000003,22004.038000000004,1883.328,8953.457,12092.686000000003,20055.392999999993,19773.68799999999,19995.699999999993,20908.36200000001,19547.675000000014
