,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M2H,0.154252517057469,0.16992277234130918,0.08072761940173655,0.15562320594103463,0.18590725969617686,0.11630512128271633,0.2510576386278514,0.15256053858149643,0.11867429089464385,0.04821893677956266,0.03287857276604112,0.1461590596049878,0.14738265916091517,0.1477950036212103,0.14854033799734678,0.1493153553434688
M2N,0.20653531191444127,0.12455623337605994,0.05741857774339052,0.11394183151915623,0.1329056041730614,0.1156874321488742,0.19089020219125163,0.08921123298706948,0.16350699226634524,0.10719494566706539,0.048255364416009805,0.11103278684179899,0.11249829765339373,0.11178447161459548,0.10893540832362199,0.11841260258742939
M2P,0.1955688258225126,0.1085324577916646,0.035448747900846234,0.09633080835059787,0.12103351578199298,0.09425291767295496,0.20106916240038003,0.09433971092226741,0.1503256531057597,0.10273494184838898,0.040298567639256905,0.09142104371683085,0.09285106330407605,0.09240703515376131,0.09054463588313111,0.09800053275361287
M4J,0.16116664467187583,0.09332877202231761,0.05200548936729405,0.07681585206006197,0.12289090684512853,0.011903006164628098,0.26474540225949345,0.15623274183576424,0.11249426619616089,0.11732211118302019,0.08574194849117821,0.059075653059970916,0.05925217889455147,0.06155239811604098,0.06885849684385435,0.05332344827749718
M3C,0.15087730713927522,0.110172834721373,0.029614939696706574,0.09361753476210949,0.13485595053113736,0.04071106239896041,0.25274048378111,0.14332841558137804,0.10240528324525447,0.08438916636561858,0.04722964763767424,0.07916620369589,0.08001357364192305,0.08135516025012615,0.08542639661403642,0.07861128556387621
M3H,0.25088210050142573,0.11282838326897421,0.08372574273871808,0.10811392362637799,0.10994855751379855,0.14232542924164485,0.14562418807764896,0.04383691165871907,0.2061918112545408,0.15338321802830746,0.0931080364825694,0.11268892266396378,0.11414741052175456,0.11242343541162671,0.1062724490566828,0.12291814929159439
M9M,0.33823958373512425,0.15382054797498299,0.16612288749772322,0.1586397061390698,0.13235842535802086,0.22046640836428927,0.05824150180973709,0.05347540970125625,0.29314298371765524,0.23974681474859946,0.18042656424642994,0.17118920075530172,0.17234274843125577,0.16982354202441474,0.16120404988657294,0.1826828345580319
M9N,0.32177284320930877,0.11819589904909622,0.14417822184345716,0.12461366268274127,0.09518003791449108,0.19390543677852123,0.08297171191339464,0.033829248664241335,0.2748366888444046,0.2292182764409201,0.16738573341940868,0.1386001872603333,0.1396318899771161,0.13699649872103098,0.12808880513409793,0.15004836340991845
M9P,0.33842749436282754,0.12484447568102325,0.1599241241626934,0.13330959962094935,0.09859057795706708,0.20737804061823228,0.07424255945643243,0.05223060990859862,0.29109951460744043,0.24716944098075397,0.18512827725213613,0.14855342958729564,0.14946061415817433,0.14675066368158562,0.13768969287972718,0.15982514519051816
M3B,0.15654960426112344,0.11872590644110939,0.028076962601408174,0.10309571976845833,0.13963116229970246,0.06351516251151121,0.2412339182193733,0.13305263151274327,0.11010740440039761,0.07440165476242505,0.02507817841718156,0.09136073830204539,0.09246115487005478,0.09323499923460751,0.09537744594560113,0.09328203477206093
M3L,0.31375401523065094,0.1307648002209306,0.1402647623616165,0.13434819963833183,0.11194272680755477,0.19436648675014107,0.08325378794817892,0.027432114127022435,0.26814332853909845,0.21698774312745006,0.15660374787857784,0.14615329495802704,0.14735009987334133,0.1448881266110994,0.13643205639937958,0.15762290913258034
M1K,0.07719443416362107,0.1780516578412342,0.11193568529795604,0.16147132991714253,0.20722147019420195,0.07348612766138804,0.3349214341344386,0.2256153580557856,0.030951500407294646,0.08555601699067995,0.10718258991444352,0.14380956155721253,0.1439854585738099,0.14628616774230063,0.1534225120862794,0.13761039500726632
M1L,0.10531572532320155,0.150765344075191,0.09159460596017138,0.13433587143304276,0.18042520555984634,0.04595899713557412,0.31455798423021775,0.20501474971318517,0.05831593947367433,0.09424946913045441,0.09797388547622138,0.11650041353469937,0.11660089962559401,0.11897521453728893,0.12640339519622112,0.10987132660306118
M1N,0.10469510307135763,0.16192907071144552,0.11311703192027486,0.14622079367582486,0.19271164521234027,0.059931417898632516,0.33458683638394543,0.22524589094308323,0.06420619955513018,0.11561035213327743,0.12264784865728803,0.12814423497342486,0.12797724079802944,0.13056293542014047,0.138766442065699,0.11987675249051336
M5A,0.2002546845453509,0.05799343974528884,0.06740470008407967,0.04335270401999836,0.08930418177335447,0.05011241149418259,0.2467346190505453,0.14300541337157102,0.15201017487673804,0.15441876954791967,0.11262081865075227,0.026011239954890714,0.02534696804877742,0.02810575008271006,0.03713685994929612,0.01583182718092832
M5B,0.21199104316190326,0.04334454252455737,0.0648590810513353,0.027892445654538477,0.07423810567456891,0.061932238029226254,0.23132156919714658,0.12859243437885826,0.16328918196460324,0.15917604577349526,0.11221638748547057,0.010236907121981128,0.009646523474535798,0.012388179011507862,0.021368713537458575,0.004287607024749551
M5C,0.21426196248283763,0.04391603644025944,0.07211810271169124,0.03024234980980975,0.07538204644600567,0.0639858707502119,0.2360990034727774,0.13462383002256798,0.16584164935946574,0.16478137847436092,0.11918659359305409,0.0151022619457172,0.013899126256295916,0.016440712036180378,0.025341024240999852,0.003894452852253839
M5E,0.21594831214942237,0.045803942413608655,0.078089951920399,0.03380455988612804,0.07731760150907283,0.06595574148691405,0.24050386663681897,0.1400089833192254,0.16781874159750076,0.16928902781993396,0.12487496740406515,0.02073892968439864,0.019388265645106876,0.021656415083139702,0.030075677953411067,0.010266613499057773
M5G,0.21877738197896496,0.03614549578772408,0.06736479707668586,0.020694379591056463,0.06699762525959907,0.06890113539933015,0.22524442479317788,0.12358860432324528,0.16999436325207026,0.16392550392341115,0.11515775823327562,0.00408539737340515,0.0028620536331176337,0.005533756264158295,0.014620498513487784,0.007562309513609787
M5H,0.22087371621695778,0.03691451507378014,0.07448072366470904,0.023847990294451348,0.0684142077730944,0.07059888541122764,0.2304231623800897,0.13012569070388366,0.17234817356734936,0.16941176952716533,0.12206938247069087,0.011717549571113648,0.010239194963999571,0.01205763294217451,0.020055228416757963,0.006658714555770207
M5J,0.23416932963310527,0.0399945784967572,0.09587963921471035,0.035382736562145994,0.06938434603933659,0.08485867873896955,0.23898317798951502,0.1437207941591063,0.1864177750863466,0.18896958270693967,0.14330445529378644,0.03216301017812322,0.03070317001628219,0.031495542412411974,0.036323367798725796,0.026865035849881737
M5M,0.21787641674364377,0.09054140118158857,0.04417223706278586,0.08094349913468864,0.09871804383037591,0.1024239549552212,0.18042662901042827,0.07170175895652584,0.1713789238285079,0.12785695508298586,0.06541370946989715,0.0804752816285217,0.08196857898649043,0.08083264500288677,0.07674980733804561,0.08926939012728514
M6H,0.25992956321306554,0.029685201331062897,0.08528139124405006,0.034675339380184564,0.02790582004151441,0.11571000940586211,0.17220788514592747,0.07691065267544572,0.2109037814645599,0.18728075623994242,0.12809689965367363,0.05033870224551576,0.05112195152503347,0.048375541101991305,0.039279769691667826,0.06137319304563751
M5V,0.24493842169137928,0.014724792397986538,0.08927152087459313,0.014978612060343947,0.04549237279663744,0.09480473027132244,0.21360175549229493,0.11940999410713633,0.19623349503714405,0.1887930710540127,0.13709926516092646,0.025966702013608848,0.025309285756183467,0.023684888027646834,0.021133383983207056,0.03074588387541894
M6A,0.25209560394622527,0.08559629897007469,0.07541968248380918,0.08227430007205613,0.0822590290445444,0.1294568779865328,0.14793060048671303,0.038398272619860514,0.20525603952045,0.16149706967366853,0.09910514150599778,0.0890849901353367,0.09048071387216937,0.08846551136984743,0.08144139138859027,0.09996668848527125
M6B,0.25313430802011894,0.07107850352259835,0.07409115319959138,0.06875176234964551,0.06774575862116707,0.12380100263802836,0.15207459440916227,0.043985629265308274,0.2054377683903213,0.166772511259201,0.10443654405382814,0.07711351353899965,0.0784461918462987,0.07624822231941102,0.06867263862778675,0.08831566591742752
M2R,0.24010894141285424,0.13798552310324022,0.08958394965477978,0.13102713701445315,0.13825668471414004,0.1490968287009654,0.1607995437446973,0.07027362776498094,0.19833940661044114,0.1375043152021182,0.08272626651258924,0.1325765786634316,0.1340693304587773,0.13275312185998941,0.1278708423897994,0.1417198828264674
M3A,0.1278436073622154,0.14277031313694216,0.055129419822528045,0.12642888513200537,0.16596456360034464,0.06529655790361123,0.26909165442467464,0.1615847601170962,0.0823658171277127,0.05095979028420012,0.03548257269103101,0.11249732023347025,0.1133788137611145,0.11464778196514194,0.11832877371309754,0.11204373224649104
M6J,0.25012618258703706,0.0055482890543170306,0.08563235233703793,0.012928239701810083,0.033687283523076525,0.10133532003623565,0.19790038417448017,0.10345929254590416,0.20111239125303024,0.18741228550302683,0.1324930895025553,0.030952625067069257,0.03108646747449451,0.02851325281202646,0.020959630506126873,0.039897939304594725
M6K,0.2648440404951545,0.011683607918246904,0.09859150919536003,0.02761539721701035,0.019905154829273398,0.11600777762999905,0.18954671333394968,0.10092334742095238,0.21582264169689996,0.2008317124490827,0.14465656271906271,0.045522540546199405,0.04555936337886013,0.04306144803036189,0.035687292786187576,0.05383619223163298
M6L,0.2912439403336821,0.09898455975254616,0.11385569709716255,0.10215081275349323,0.08244274024911195,0.16500224534716712,0.11087214449527628,0.010071100888123229,0.24432208091292068,0.1994683468501972,0.1373683187167772,0.11408497741711296,0.11526196473117913,0.11277563618576397,0.10426663945943455,0.12556950993280733
M1C,0.049280377106685785,0.2997581345459026,0.22814600924089515,0.28318087313296464,0.3288311107092987,0.19507424643851537,0.4457496848936424,0.33866191193669226,0.09683742359320409,0.15390700576636376,0.2074609250700864,0.26550844287655856,0.265667857602964,0.26798520358086175,0.27512143038929787,0.2590716977527429
M1H,0.03674627532697902,0.21799036849856107,0.14283043349412894,0.20120490118898363,0.24593972757492075,0.11501606952358924,0.3611715438848186,0.2535108544648156,0.0131672456835253,0.07907834924732189,0.12405053894032038,0.18404403631978494,0.18437575733551617,0.18650359977292078,0.19299153694396998,0.1788541059030714
